Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Independent (United States),John Carico,"3,398",0.15%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Independent (United States),Breton Phillips,"2,226",0.10%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Candidate,False,Independent (United States),Kevin Lee McCants,"1,927",0.09%
2018,Tennessee,2018 United States Senate election in Tennessee,General,Total,False,,,"2,243,740",100.00%
2018,Texas,2018 United States Senate election in Texas,General,Winning,True,Republican Party (United States),Ted Cruz,"4,260,553",50.89%
2018,Texas,2018 United States Senate election in Texas,General,Candidate,False,Democratic Party (United States),Beto O'Rourke,"4,045,632",48.33%
2018,Texas,2018 United States Senate election in Texas,General,Candidate,False,Libertarian Party (United States),Neal Dikeman,"65,470",0.78%
2018,Texas,2018 United States Senate election in Texas,General,Total,False,,,"8,371,655",100%
2018,Utah,"United States Senate general election in Utah, 2018",General,Winning,False,Republican Party (United States),Mitt Romney,"665,215",62.59%
2018,Utah,"United States Senate general election in Utah, 2018",General,Candidate,False,Democratic Party (United States),Jenny Wilson,"328,541",30.91%
2018,Utah,"United States Senate general election in Utah, 2018",General,Candidate,False,Constitution Party (United States),Tim Aalders,"28,774",2.71%
2018,Utah,"United States Senate general election in Utah, 2018",General,Candidate,False,Libertarian Party (United States),Craig Bowden,"27,607",2.60%
2018,Utah,"United States Senate general election in Utah, 2018",General,Candidate,False,Independent American Party,Reed McCandless,"12,708",1.20%
2018,Utah,"United States Senate general election in Utah, 2018",General,Write-in,False,,,52,<0.01%
2018,Utah,"United States Senate general election in Utah, 2018",General,Total,False,,,"1,062,897",100%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Winning,True,Independent politician,Bernie Sanders,"183,649",67.44%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Republican Party (United States),Lawrence Zupan,"74,815",27.47%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Independent politician,Brad J. Peacock,"3,665",1.35%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Independent politician,Russell Beste,"2,763",1.02%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Independent politician,"Edward S. Gilbert, Jr.","2,244",0.82%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Independent politician,Folasade Adeluola,"1,979",0.73%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Liberty Union Party,Reid Kane,"1,171",0.43%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Independent politician,Jon Svitavsky,"1,130",0.42%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Candidate,False,Independent politician,Bruce Busa,914,0.34%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Write-in,False,,,294,0.11%
2018,Vermont,"United States Senate election in Vermont, 2018",General,Total,False,,,"272,330",100.00%
2018,Virginia,2018 United States Senate election in Virginia,General,Winning,True,Democratic Party (United States),Tim Kaine,"1,910,370",57.00%
2018,Virginia,2018 United States Senate election in Virginia,General,Candidate,False,Republican Party (United States),Corey Stewart,"1,374,313",41.00%
2018,Virginia,2018 United States Senate election in Virginia,General,Candidate,False,Libertarian Party (United States),Matt Waters,"61,565",1.84%
2018,Virginia,2018 United States Senate election in Virginia,General,Write-in,False,,,"5,509",0.16%
2018,Virginia,2018 United States Senate election in Virginia,General,Total,False,,,"3,351,757",100.00%
2018,Washington,2018 United States Senate election in Washington,General,Winning,True,Democratic Party (United States),Maria Cantwell,"1,803,364",58.43%
2018,Washington,2018 United States Senate election in Washington,General,Candidate,False,Republican Party (United States),Susan Hutchison,"1,282,804",41.57%
2018,Washington,2018 United States Senate election in Washington,General,Total,False,,,"3,086,168",100.00%
2018,West Virginia,"United States Senate election in West Virginia, 2018",General,Winning,True,Democratic Party (United States),Joe Manchin,"290,510",49.57%
2018,West Virginia,"United States Senate election in West Virginia, 2018",General,Candidate,False,Republican Party (United States),Patrick Morrisey,"271,113",46.26%
2018,West Virginia,"United States Senate election in West Virginia, 2018",General,Candidate,False,Libertarian Party (United States),Rusty Hollen,"24,411",4.17%
2018,West Virginia,"United States Senate election in West Virginia, 2018",General,Total,False,,,"586,034",100.00%
2018,Wisconsin,"United States Senate election in Wisconsin, 2018",General,Winning,True,Democratic Party (United States),Tammy Baldwin,"1,472,914",55.36%
2018,Wisconsin,"United States Senate election in Wisconsin, 2018",General,Candidate,False,Republican Party (United States),Leah Vukmir,"1,184,885",44.53%
2018,Wisconsin,"United States Senate election in Wisconsin, 2018",General,Write-in,False,,,"2,964",0.11%
2018,Wisconsin,"United States Senate election in Wisconsin, 2018",General,Total,False,,,"2,660,763",100.00%
2018,Wyoming,2018 United States Senate election in Wyoming,General,Winning,True,Republican Party (United States),John Barrasso,"136,210",66.96%
2018,Wyoming,2018 United States Senate election in Wyoming,General,Candidate,False,Democratic Party (United States),Gary Trauner,"61,227",30.10%
2018,Wyoming,2018 United States Senate election in Wyoming,General,Candidate,False,Libertarian Party (United States),Joseph Porambo,"5,658",2.78%
2018,Wyoming,2018 United States Senate election in Wyoming,General,Write-in,False,,,325,0.16%
2018,Wyoming,2018 United States Senate election in Wyoming,General,Total,False,,,"203,420",100%
