year,map_vintage,state,state_code,district,district_note,at_large,statewide_baseline,races_used,offices_used,senate_races,statewide_races,stateleg_races,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,lean_house_pct,lean_statewide_pct,lean_senate_pct,weight_house,weight_statewide,weight_senate,sources_used
2006,2000s,California,CA,CA-22,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-10.2,R+10.2,-32.1,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-23,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,1.76,D+1.8,3.77,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-24,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.31,R+7.3,-23.43,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-25,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.55,R+7.6,-24.16,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-26,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-6.65,R+6.7,-21.45,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-27,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,2.96,D+3.0,7.37,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-28,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,6.52,D+6.5,18.07,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-29,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,3.29,D+3.3,8.37,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-30,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,4.37,D+4.4,11.62,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-31,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-32,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-33,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-34,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,5.63,D+5.6,15.4,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-35,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-36,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,2.2,D+2.2,5.09,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-37,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-38,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,5.16,D+5.2,13.98,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-39,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,1.99,D+2.0,4.47,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-40,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-9.47,R+9.5,-29.91,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-41,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-8.96,R+9.0,-28.37,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-42,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-43,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,1.53,D+1.5,3.09,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-44,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.23,R+7.2,-23.18,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-45,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-6.85,R+6.9,-22.06,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-46,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.26,R+7.3,-23.28,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-47,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.82,D+0.8,0.97,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-48,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.19,R+7.2,-23.08,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-49,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-8.44,R+8.4,-26.83,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-50,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-4.96,R+5.0,-16.39,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-51,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,3.07,D+3.1,7.7,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-52,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-8.94,R+8.9,-28.32,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-53,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,3.12,D+3.1,7.85,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Colorado,CO,CO-01,,False,True,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,5.76,D+5.8,,5.76,,0.0,1.0,0.0,statewide
2006,2000s,Colorado,CO,CO-02,,False,False,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,7.52,D+7.5,9.28,5.76,,0.5,0.5,0.0,house+statewide
2006,2000s,Colorado,CO,CO-03,,False,False,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,3.56,D+3.6,1.36,5.76,,0.5,0.5,0.0,house+statewide
2006,2000s,Colorado,CO,CO-04,,False,False,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,-3.52,R+3.5,-12.8,5.76,,0.5,0.5,0.0,house+statewide
2006,2000s,Colorado,CO,CO-05,,False,False,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,-7.64,R+7.6,-21.04,5.76,,0.5,0.5,0.0,house+statewide
2006,2000s,Colorado,CO,CO-06,,False,False,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,-7.58,R+7.6,-20.92,5.76,,0.5,0.5,0.0,house+statewide
2006,2000s,Colorado,CO,CO-07,,False,False,1,governor,0,1,0,887986,625886,44405,1558277,58.66,41.34,52.9,0.5,D+0.5,-4.77,5.76,,0.5,0.5,0.0,house+statewide
2006,2000s,Connecticut,CT,CT-01,,False,False,2,senate; governor,1,1,0,849064,819246,589933,2258243,50.89,49.11,52.9,6.49,D+6.5,13.06,-16.96,23.38,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Connecticut,CT,CT-02,,False,False,2,senate; governor,1,1,0,849064,819246,589933,2258243,50.89,49.11,52.9,-1.66,R+1.7,-11.38,-16.96,23.38,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Connecticut,CT,CT-03,,False,False,2,senate; governor,1,1,0,849064,819246,589933,2258243,50.89,49.11,52.9,7.41,D+7.4,15.81,-16.96,23.38,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Connecticut,CT,CT-04,,False,False,2,senate; governor,1,1,0,849064,819246,589933,2258243,50.89,49.11,52.9,-2.22,R+2.2,-13.08,-16.96,23.38,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Connecticut,CT,CT-05,,False,False,2,senate; governor,1,1,0,849064,819246,589933,2258243,50.89,49.11,52.9,0.5,D+0.5,-4.92,-16.96,23.38,0.334,0.333,0.333,house+statewide+senate
2006,2000s,District of Columbia,DC,DC-AL,,True,True,0,,0,0,0,0,0,0,0,,,52.9,,,,,,0.0,0.0,0.0,
2006,2000s,Delaware,DE,DE-AL,,True,False,30,senate; state senate; state house,1,0,29,291773,177140,4719,473632,62.22,37.78,52.9,-2.34,R+2.3,-20.99,0.12,13.86,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-01,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-10.77,R+10.8,-29.94,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-02,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-03,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-04,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-11.15,R+11.2,-31.09,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-05,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.88,R+7.9,-21.28,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-06,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.89,R+7.9,-21.29,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-07,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-8.95,R+9.0,-24.49,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-08,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-5.78,R+5.8,-14.98,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-09,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-6.56,R+6.6,-17.32,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-10,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-9.9,R+9.9,-27.33,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-11,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,1.97,D+2.0,8.28,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-12,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-13,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-4.61,R+4.6,-11.48,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-14,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-9.39,R+9.4,-25.79,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-15,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-6.69,R+6.7,-17.69,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-16,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-4.28,R+4.3,-10.47,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-17,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-18,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-8.63,R+8.6,-23.52,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-19,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-20,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-21,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.75,R+7.7,-20.88,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-22,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-3.95,R+4.0,-9.48,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-23,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-24,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.24,R+7.2,-19.34,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-25,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.42,R+7.4,-19.88,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Georgia,GA,GA-01,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-21.53,R+21.5,-29.9,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-02,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-3.33,R+3.3,6.49,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-03,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-21.1,R+21.1,-29.05,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-04,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,0.4,D+0.4,13.96,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-05,,False,True,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-13.15,R+13.2,,-13.15,,0.0,1.0,0.0,statewide
2006,2000s,Georgia,GA,GA-06,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-23.47,R+23.5,-33.79,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-07,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-22.73,R+22.7,-32.31,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-08,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-12.0,R+12.0,-10.85,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-09,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-25.59,R+25.6,-38.03,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-10,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-20.96,R+21.0,-28.77,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-11,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-22.81,R+22.8,-32.46,-13.15,,0.5,0.5,0.0,house+statewide
2006,2000s,Georgia,GA,GA-12,,False,False,1,governor,0,1,0,811049,1229724,81412,2122185,39.74,60.26,52.9,-12.13,R+12.1,-11.1,-13.15,,0.5,0.5,0.0,house+statewide
